Product Name,Price,Ratings
Asssyrian Caesarean [Disco de Vinil],"R$237,69",-1
Jazz Track,"R$151,93","4,0 de 5 estrelas"
We Out Here / Various [Disco de Vinil],"R$176,37","4,6 de 5 estrelas"
Blue Train,"R$195,26","4,7 de 5 estrelas"
Rubberband [Disco de Vinil],"R$244,77","4,3 de 5 estrelas"
Alligator Bogaloo [Disco de Vinil],"R$187,00","4,4 de 5 estrelas"
Christmas Songs,"R$216,36","4,5 de 5 estrelas"
Sunny Side Up [Disco de Vinil],"R$168,27","5,0 de 5 estrelas"
Charlie Parker With Strings,"R$156,03","4,6 de 5 estrelas"
Evolution (LP) [Disco de Vinil],"R$166,23","4,6 de 5 estrelas"
New Star on the Horizon [Disco de Vinil],"R$169,29",-1
Ethiopian Knights [Disco de Vinil],"R$190,71","4,4 de 5 estrelas"
Maxwell's Urban Hang Suite [Disco de Vinil],"R$208,27","4,7 de 5 estrelas"
Hand Jive [Disco de Vinil],"R$227,43","4,8 de 5 estrelas"
Volume 1,"R$144,24","4,6 de 5 estrelas"
Epic [Disco de Vinil],"R$381,45","4,6 de 5 estrelas"
April in Paris [Disco de Vinil],"R$173,37","4,7 de 5 estrelas"
Coming Forth By Day [Disco de Vinil],"R$238,58","4,2 de 5 estrelas"
KingMaker [Disco de Vinil],"R$227,43","4,3 de 5 estrelas"
Conversations with Myself [Disco de Vinil],"R$140,95","4,1 de 5 estrelas"
Flower & Vessel [Disco de Vinil],"R$252,93",-1
0.3541666667,"R$277,65","4,7 de 5 estrelas"
Mosaic [Disco de Vinil],"R$158,01","4,5 de 5 estrelas"
WomanChild,"R$266,19","4,5 de 5 estrelas"
Chairman Of The Board (180 Gram Direct Metal Mastering) [Disco de Vinil],"R$164,91","4,8 de 5 estrelas"
Complete Communion,"R$144,57","4,6 de 5 estrelas"
Paris 1969 [Disco de Vinil],"R$225,39","4,4 de 5 estrelas"
Cool Struttin [Disco de Vinil],"R$164,15","4,5 de 5 estrelas"
Duets [Disco de Vinil],"R$243,17","4,5 de 5 estrelas"
Adam's Apple [Disco de Vinil],"R$165,00","4,5 de 5 estrelas"
Mingus Mingus Mingus Mingus Mingus [Disco de Vinil],"R$190,71","4,9 de 5 estrelas"
The Mugician [Disco de Vinil],"R$152,00","5,0 de 5 estrelas"
Doo-Bop [Disco de Vinil],"R$219,92","4,5 de 5 estrelas"
Singles [Disco de Vinil],"R$275,89",-1
That's It [Disco de Vinil],"R$171,58","3,8 de 5 estrelas"
Be Good,"R$211,57","4,8 de 5 estrelas"
How My Heart Sings [Disco de Vinil],"R$160,73","4,6 de 5 estrelas"
"Grits, Beans And Greens: The Lost Fontana Studio Sessions 1969 [Disco de Vinil]","R$208,05","4,7 de 5 estrelas"
Brillant Corners [Disco de Vinil],"R$152,45","4,4 de 5 estrelas"
Red Clay [Disco de Vinil],"R$318,33","4,3 de 5 estrelas"
In Tune (Various Artists) [Disco de Vinil],"R$209,07","4,5 de 5 estrelas"
Doin' Allright,"R$198,87","4,9 de 5 estrelas"
Life Carries Me This Way [Disco de Vinil],"R$374,31","4,6 de 5 estrelas"
Love Will Find A Way [Disco de Vinil],"R$241,71","4,3 de 5 estrelas"
Piano Solo [Disco de Vinil],"R$150,93","4,7 de 5 estrelas"
Modern Quintet [Disco de Vinil],"R$151,91","3,0 de 5 estrelas"
At Newport [Disco de Vinil],"R$156,00","4,1 de 5 estrelas"
Interplay [Disco de Vinil],"R$160,17","4,6 de 5 estrelas"
Hits [Disco de Vinil],"R$181,53","4,5 de 5 estrelas"
Pastel Blues [Disco de Vinil],"R$189,00","4,8 de 5 estrelas"
Stardust [Disco de Vinil],"R$157,05","4,5 de 5 estrelas"
Daddy Plays the Horn [Disco de Vinil],"R$558,55","4,6 de 5 estrelas"
Piano In The Foreground [Disco de Vinil],"R$150,81","4,8 de 5 estrelas"
Brown Rice,"R$155,07","4,6 de 5 estrelas"
Liquid Spirit [Disco de Vinil],"R$213,81","4,6 de 5 estrelas"
Omnisphere [Disco de Vinil],"R$163,17","5,0 de 5 estrelas"
Sketches Of Ethiopia [Disco de Vinil],"R$160,45","4,2 de 5 estrelas"
Bringin' It,"R$221,31","4,4 de 5 estrelas"
Tenderly [Disco de Vinil],"R$189,31","5,0 de 5 estrelas"
Adiemus/Karl Jenkins - Songs Of Sanctuary [Disco de Vinil],"R$264,90","4,4 de 5 estrelas"
Thembi [Disco de Vinil],"R$204,27","4,2 de 5 estrelas"
A Touch Of Music - A Touch Of Music [Disco de Vinil],"R$412,90",-1
Big Business [Disco de Vinil],"R$208,05","5,0 de 5 estrelas"
Elysium [Disco de Vinil],"R$275,37","4,1 de 5 estrelas"
Very Best Of (180G) [Disco de Vinil],"R$127,71","4,7 de 5 estrelas"
Dreams And Daggers [Disco de Vinil],"R$385,30","4,6 de 5 estrelas"
Morocco Fantasia [Disco de Vinil],"R$300,30","4,6 de 5 estrelas"
The Vinyl LP Collection,"R$1.253,37","5,0 de 5 estrelas"
Bossa Nova [Disco de Vinil],"R$140,73",-1
Ballade of the Nocturnal Commune [Disco de Vinil],"R$87,18",-1
Vince & Bola [Disco de Vinil],"R$138,69","4,2 de 5 estrelas"
The Atlantic Years In Mono [Disco de Vinil],"R$1.325,95","4,6 de 5 estrelas"
Night In Tunisia [Disco de Vinil],"R$324,17","5,0 de 5 estrelas"
Blue Walk,"R$348,31","4,3 de 5 estrelas"
Bebe Godzilla [Disco de Vinil],"R$195,81",-1
Soul Of A Nation: Afro-centric Visions In The Age,"R$231,25","4,8 de 5 estrelas"
Heart Songs [Disco de Vinil],"R$156,49","4,8 de 5 estrelas"
At Jazz at the Philarmonic [Disco de Vinil],"R$151,95","4,1 de 5 estrelas"
Petite Afrique [Disco de Vinil],"R$203,97","4,5 de 5 estrelas"
